HenID;PenID;BackPackID;TagID;StartDate;EndDate;Change;Death;Switch
1;10;pb;1;21.10.2019;19.07.2020;0;0;0
2;5;ws;2;21.10.2019;19.07.2020;0;0;0
3;10;wg;3;21.10.2019;19.07.2020;0;0;0
4;10;ws;4;21.10.2019;19.07.2020;0;0;0
5;3;gg;5;21.10.2019;19.07.2020;0;0;0
6;10;wb;6;21.10.2019;19.07.2020;0;0;0
7;3;wb;7;21.10.2019;07.05.2020;1;0;1
8;12;ss;8;21.10.2019;19.07.2020;0;0;0
9;3;sp;9;21.10.2019;19.07.2020;0;0;0
10;12;ps;11;21.10.2019;20.01.2020;1;0;1
11;5;gs;12;21.10.2019;19.07.2020;0;0;0
12;5;ps;13;21.10.2019;19.07.2020;0;0;0
13;3;ss;14;21.10.2019;19.07.2020;0;0;0
14;11;pp;15;21.10.2019;19.07.2020;0;0;0
15;5;gp;16;21.10.2019;19.07.2020;0;0;0
16;5;ss;17;21.10.2019;20.01.2020;1;0;1
17;10;pp;18;21.10.2019;19.07.2020;0;0;0
18;11;bs;19;21.10.2019;19.07.2020;0;0;0
19;5;sws;20;21.10.2019;19.07.2020;0;0;0
20;5;sg;21;21.10.2019;19.07.2020;0;0;0
21;10;gs;22;21.10.2019;19.07.2020;0;0;0
22;5;sp;23;21.10.2019;13.04.2020;1;1;0
23;10;gp;24;21.10.2019;19.07.2020;0;0;0
24;12;gb;25;21.10.2019;19.07.2020;0;0;0
25;5;sb;26;21.10.2019;19.07.2020;0;0;0
26;5;bb;27;21.10.2019;19.07.2020;0;0;0
27;5;pp;28;21.10.2019;19.07.2020;0;0;0
28;11;gb;29;21.10.2019;19.07.2020;0;0;0
29;3;bb;30;21.10.2019;19.07.2020;0;0;0
30;12;gs;31;21.10.2019;19.07.2020;0;0;0
31;4;ss;32;21.10.2019;19.07.2020;0;0;0
32;12;sws;33;21.10.2019;19.07.2020;0;0;0
33;12;ws;34;21.10.2019;18.03.2020;1;0;1
34;12;gg;35;21.10.2019;19.07.2020;0;0;0
35;5;wp;36;21.10.2019;19.07.2020;0;0;0
36;11;sb;37;21.10.2019;19.07.2020;0;0;0
37;4;gp;38;21.10.2019;19.07.2020;0;0;0
38;4;gg;39;21.10.2019;19.07.2020;0;0;0
39;12;pp;40;21.10.2019;19.07.2020;0;0;0
40;4;ws;41;21.10.2019;19.07.2020;0;0;0
41;3;ps;42;21.10.2019;19.07.2020;0;0;0
42;3;ws;43;21.10.2019;19.07.2020;0;0;0
43;11;wg;44;21.10.2019;20.01.2020;1;1;0
44;11;sws;45;21.10.2019;19.07.2020;0;0;0
45;11;ss;46;21.10.2019;19.07.2020;0;0;0
46;10;wp;47;21.10.2019;19.07.2020;0;0;0
47;11;wb;48;21.10.2019;19.07.2020;0;0;0
48;4;bs;49;21.10.2019;19.07.2020;0;0;0
49;3;pb;50;21.10.2019;19.07.2020;0;0;0
50;4;sp;51;21.10.2019;19.07.2020;0;0;0
51;3;bs;52;21.10.2019;19.07.2020;0;0;0
52;11;bb;53;21.10.2019;19.07.2020;0;0;0
53;5;pb;54;21.10.2019;19.07.2020;0;0;0
54;10;bs;55;21.10.2019;19.07.2020;0;0;0
55;11;pb;56;21.10.2019;19.07.2020;0;0;0
56;10;sp;57;21.10.2019;19.07.2020;0;0;0
57;12;wp;58;21.10.2019;19.07.2020;0;0;0
58;3;gs;59;21.10.2019;19.07.2020;0;0;0
59;4;ps;60;21.10.2019;19.07.2020;0;0;0
60;4;gb;10;21.10.2019;19.07.2020;0;0;0
61;12;sp;62;21.10.2019;19.07.2020;0;0;0
62;4;sb;63;21.10.2019;19.07.2020;0;0;0
63;3;wg;64;21.10.2019;19.07.2020;0;0;0
64;3;wp;65;21.10.2019;19.07.2020;0;0;0
65;12;sg;66;21.10.2019;19.07.2020;0;0;0
66;12;pb;67;21.10.2019;19.07.2020;0;0;0
67;4;sws;68;21.10.2019;19.07.2020;0;0;0
68;11;sp;69;21.10.2019;19.07.2020;0;0;0
69;12;gp;70;21.10.2019;19.07.2020;0;0;0
70;4;sg;71;21.10.2019;05.06.2020;1;0;1
71;10;gg;72;21.10.2019;19.07.2020;0;0;0
72;5;bs;73;21.10.2019;19.07.2020;0;0;0
73;4;wg;74;21.10.2019;19.07.2020;0;0;0
74;10;sb;75;21.10.2019;19.07.2020;0;0;0
75;12;bb;76;21.10.2019;19.07.2020;0;0;0
76;4;pp;77;21.10.2019;19.07.2020;0;0;0
77;3;sb;78;21.10.2019;19.07.2020;0;0;0
78;4;bb;79;21.10.2019;19.07.2020;0;0;0
79;11;gg;80;21.10.2019;19.07.2020;0;0;0
80;11;gs;81;21.10.2019;19.07.2020;0;0;0
81;4;wb;82;21.10.2019;19.07.2020;0;0;0
82;11;ps;83;21.10.2019;19.07.2020;0;0;0
83;3;gb;84;21.10.2019;24.02.2020;1;0;1
84;10;ps;85;21.10.2019;19.07.2020;0;0;0
85;4;gs;86;21.10.2019;25.04.2020;1;1;0
86;10;sws;87;21.10.2019;19.07.2020;0;0;0
87;5;gg;88;21.10.2019;19.07.2020;0;0;0
88;5;wb;89;21.10.2019;19.07.2020;0;0;0
89;4;pb;90;21.10.2019;19.07.2020;0;0;0
90;3;pp;91;21.10.2019;19.07.2020;0;0;0
91;3;sg;92;21.10.2019;19.07.2020;0;0;0
92;11;ws;93;21.10.2019;19.07.2020;0;0;0
93;10;gb;94;21.10.2019;19.07.2020;0;0;0
94;10;sg;95;21.10.2019;19.07.2020;0;0;0
95;12;sb;96;21.10.2019;19.07.2020;0;0;0
96;12;wg;97;21.10.2019;19.07.2020;0;0;0
97;4;wp;98;21.10.2019;19.07.2020;0;0;0
98;11;sg;99;21.10.2019;19.07.2020;0;0;0
99;5;wg;100;21.10.2019;19.07.2020;0;0;0
100;10;bb;101;21.10.2019;09.12.2019;1;0;1
101;5;gb;102;21.10.2019;19.07.2020;0;0;0
102;12;bs;103;21.10.2019;19.07.2020;0;0;0
103;11;wp;105;21.10.2019;19.07.2020;0;0;0
104;11;gp;106;21.10.2019;19.07.2020;0;0;0
105;3;sws;107;21.10.2019;19.07.2020;0;0;0
106;12;wb;108;21.10.2019;19.07.2020;0;0;0
107;10;ss;109;21.10.2019;19.07.2020;0;0;0
108;3;gp;110;21.10.2019;19.07.2020;0;0;0
7;3;wb;113;07.05.2020;19.07.2020;0;0;0
10;12;ps;122;20.01.2020;19.07.2020;0;0;0
16;5;ss;117;20.01.2020;13.04.2020;1;1;0
109;5;ss;23;04.05.2020;02.06.2020;1;0;1
109;5;ss;117;02.06.2020;19.07.2020;0;0;0
110;5;sp;117;04.05.2020;02.06.2020;1;0;1
110;5;sp;23;02.06.2020;19.07.2020;0;0;0
33;12;ws;104;18.03.2020;19.07.2020;1;0;1
111;11;wg;44;28.01.2020;19.07.2020;0;0;0
70;4;sg;115;05.06.2020;19.07.2020;0;0;0
83;3;gb;114;24.02.2020;19.07.2020;0;0;0
112;4;gs;86;04.05.2020;19.07.2020;0;0;0
100;10;bb;119;09.12.2019;19.07.2020;0;0;0
